subway_line_used_most_often,use_of_subway_frequency,average_length_subway_ride,overall_satisfaction,frequency_of_delays,approximate_delay_duration,alternative_transport,frequency_of_rerouting,most_common_reason_for_delay,is_subway_affordable,opinion_on_increased_fares,submitted_at,collection_method,complaint_1,complaint_2,complaint_3
2,Everyday / Almost everyday,40 - 60 min,Highly unsatisfied,A few times a week,> 60 min,Wait for next train,Only on weekends,Sick passenger,True,Negative,01/10/2019 @ 01:27 PM,in person,Delays,,
1,~5 days per week,90 min - 2 hours,Highly unsatisfied,Everyday,45 - 60 min,For-hire vehicle,Only on weekends,Police incident,False,Neutral,01/10/2019 @ 01:27 PM,in person,Delays,Crime / Safety,Overcrowded trains
1,Everyday / Almost everyday,40 - 60 min,Somewhat satisfied,A few times a week,5 - 10 min,Wait for next train,All the time,Police incident,True,Positive,01/10/2019 @ 01:28 PM,in person,Delays,High fares,Overcrowded trains
2,"More than once a week, varies",20 - 40 min,Somewhat satisfied,,10 - 20 min,Wait for next train,,,True,,01/10/2019 @ 01:29 PM,in person,,,
1,Everyday / Almost everyday,20 - 40 min,Not satisfied,Rarely,10 - 20 min,For-hire vehicle,Almost never,Sick passenger,False,Positive,01/10/2019 @ 01:29 PM,in person,Delays,High fares,Customer service
3,"More than once a week, varies",20 - 40 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,All the time,Signal malfunction,True,Positive,01/10/2019 @ 01:31 PM,in person,Delays,High fares,Station infrastructure
1,"More than once a week, varies",20 - 40 min,Highly unsatisfied,A few times a week,5 - 10 min,For-hire vehicle,All the time,Train traffic,False,Positive,01/10/2019 @ 01:31 PM,in person,Delays,Station infrastructure,Lack of handicap access
2,~5 days per week,60 - 90 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,Signal malfunction,False,Positive,01/10/2019 @ 01:33 PM,in person,Delays,High fares,Crime / Safety
1,Everyday / Almost everyday,20 - 40 min,Somewhat satisfied,Everyday,5 - 10 min,Wait for next train,Only on weekends,Train traffic,False,Positive,01/10/2019 @ 01:33 PM,in person,Crime / Safety,Customer service,Overcrowded trains
1,"Weekdays, Mon - Fri",40 - 60 min,Somewhat satisfied,Everyday,10 - 20 min,Use another train,Only on weekends,Waiting for signal change,False,Positive,01/10/2019 @ 01:34 PM,in person,Delays,Frequent route changes,Crime / Safety
6,"Weekdays, Mon - Fri",< 20 min,Somewhat satisfied,A few times a week,20 - 45 min,Take a bus,Only at night,Sick passenger,False,Positive,01/10/2019 @ 01:34 PM,in person,Frequent route changes,Customer service,Old trains
3,Everyday / Almost everyday,20 - 40 min,Not satisfied,A few times a week,10 - 20 min,Use another train,Almost never,,True,,01/10/2019 @ 01:36 PM,in person,Delays,Old trains,
J,~5 days per week,90 min - 2 hours,Not satisfied,A few times a week,20 - 45 min,Wait for next train,All the time,Waiting for signal change,True,Neutral,01/10/2019 @ 01:36 PM,in person,High fares,Crime / Safety,Overcrowded trains
1,"Weekdays, Mon - Fri",40 - 60 min,Somewhat satisfied,A few times a week,10 - 20 min,,,,True,,01/10/2019 @ 01:37 PM,in person,,,
E,Everyday / Almost everyday,60 - 90 min,Not satisfied,Everyday,10 - 20 min,Use another train,,,True,Positive,01/10/2019 @ 01:39 PM,in person,Delays,Station infrastructure,Overcrowded trains
1,"Weekdays, Mon - Fri",40 - 60 min,Neutral,A few times a week,10 - 20 min,Use another train,Only on weekends,Signal malfunction,False,Negative,01/10/2019 @ 01:41 PM,in person,Delays,Customer service,Station infrastructure
C,Everyday / Almost everyday,< 20 min,Somewhat satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,Signal malfunction,True,Neutral,01/10/2019 @ 01:41 PM,in person,Delays,Frequent route changes,Customer service
2,Everyday / Almost everyday,60 - 90 min,Neutral,Everyday,5 - 10 min,For-hire vehicle,Only at night,Train traffic,False,Positive,01/10/2019 @ 01:42 PM,in person,Delays,Frequent route changes,High fares
2,Everyday / Almost everyday,< 20 min,Neutral,Everyday,10 - 20 min,Wait for next train,,Signal malfunction,False,Positive,01/10/2019 @ 01:43 PM,in person,Delays,High fares,Crime / Safety
L,Everyday / Almost everyday,60 - 90 min,Not satisfied,A few times a week,10 - 20 min,Use another train,All the time,Signal malfunction,True,Positive,01/10/2019 @ 01:44 PM,in person,Delays,High fares,Overcrowded trains
1,Everyday / Almost everyday,40 - 60 min,Highly unsatisfied,Everyday,5 - 10 min,Use another train,All the time,Waiting for signal change,True,Unaware,01/10/2019 @ 01:46 PM,in person,Delays,Frequent route changes,Station infrastructure
Q,Once a week,60 - 90 min,Not satisfied,A few times a week,10 - 20 min,Walk,Only on weekends,Train traffic,False,Positive,01/10/2019 @ 01:49 PM,in person,Delays,Frequent route changes,High fares
4,Everyday / Almost everyday,90 min - 2 hours,Somewhat satisfied,Rarely,,,,,True,,01/10/2019 @ 01:49 PM,in person,,,
6,Everyday / Almost everyday,20 - 40 min,Not satisfied,A few times a week,20 - 45 min,Take a bus,Only on weekends,Train traffic,True,Other / No thoughts,01/10/2019 @ 01:50 PM,in person,Delays,Frequent route changes,Overcrowded trains
1,"Weekdays, Mon - Fri",20 - 40 min,Highly unsatisfied,Everyday,10 - 20 min,For-hire vehicle,All the time,Train traffic,False,Positive,01/10/2019 @ 01:51 PM,in person,Delays,High fares,Crime / Safety
R,Everyday / Almost everyday,60 - 90 min,Not satisfied,Everyday,20 - 45 min,Wait for next train,,,True,,01/10/2019 @ 01:52 PM,in person,,,
4,Everyday / Almost everyday,60 - 90 min,Highly unsatisfied,Everyday,10 - 20 min,Take a bus,All the time,Signal malfunction,True,Positive,01/10/2019 @ 01:53 PM,in person,Delays,High fares,Station infrastructure
A,"More than once a week, varies",40 - 60 min,Somewhat satisfied,A few times a week,5 - 10 min,Wait for next train,Only at night,Train traffic,False,Negative,01/10/2019 @ 01:55 PM,in person,Delays,High fares,Lack of handicap access
F,"Weekdays, Mon - Fri",20 - 40 min,Somewhat satisfied,,,Wait for next train,Only on weekends,Train traffic,True,Other / No thoughts,01/10/2019 @ 01:56 PM,in person,Delays,Frequent route changes,Overcrowded trains
3,Everyday / Almost everyday,60 - 90 min,Somewhat satisfied,A few times a week,5 - 10 min,Take a bus,All the time,Train traffic,False,Positive,01/10/2019 @ 01:58 PM,in person,Delays,High fares,Customer service
1,Everyday / Almost everyday,40 - 60 min,Not satisfied,A few times a week,10 - 20 min,Use another train,All the time,Signal malfunction,False,Positive,01/10/2019 @ 01:58 PM,in person,Frequent route changes,High fares,Station infrastructure
2,"More than once a week, varies",< 20 min,Somewhat satisfied,Rarely,5 - 10 min,Wait for next train,Almost never,,True,,01/10/2019 @ 01:58 PM,in person,Delays,,
7,"More than once a week, varies",20 - 40 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,Train traffic,True,Other / No thoughts,01/10/2019 @ 02:01 PM,in person,Delays,,
6,"Weekdays, Mon - Fri",20 - 40 min,Not satisfied,Everyday,20 - 45 min,For-hire vehicle,Only on weekends,Signal malfunction,False,Negative,01/10/2019 @ 02:02 PM,in person,Delays,High fares,Crime / Safety
7,"More than once a week, varies",40 - 60 min,Not satisfied,Everyday,20 - 45 min,Wait for next train,All the time,Train traffic,True,Positive,01/10/2019 @ 02:03 PM,in person,Delays,Frequent route changes,Overcrowded trains
2,~5 days per week,20 - 40 min,Not satisfied,A few times a week,5 - 10 min,Use another train,Almost never,Waiting for signal change,False,Positive,01/10/2019 @ 02:03 PM,in person,High fares,Station infrastructure,Overcrowded trains
6,Everyday / Almost everyday,20 - 40 min,Somewhat satisfied,A few times a week,10 - 20 min,Wait for next train,All the time,Weather,True,Neutral,01/10/2019 @ 02:05 PM,in person,,,
M,Once a week,< 20 min,Very satisfied,Rarely,5 - 10 min,Take a bus,Almost never,Weather,True,Neutral,01/10/2019 @ 02:06 PM,in person,Delays,Overcrowded trains,Lack of handicap access
Q,Everyday / Almost everyday,40 - 60 min,Very satisfied,A few times a week,5 - 10 min,Use another train,Almost never,Train traffic,True,Other / No thoughts,01/10/2019 @ 02:06 PM,in person,Delays,Station infrastructure,Overcrowded trains
2,Everyday / Almost everyday,60 - 90 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,All the time,Sick passenger,False,Positive,01/10/2019 @ 02:08 PM,in person,Delays,High fares,Station infrastructure
6,~5 days per week,< 20 min,Somewhat satisfied,Rarely,5 - 10 min,Walk,Almost never,Train traffic,True,Unaware,01/10/2019 @ 02:10 PM,in person,Delays,Frequent route changes,Overcrowded trains
M,Everyday / Almost everyday,20 - 40 min,Somewhat satisfied,Rarely,10 - 20 min,Use another train,,Signal malfunction,False,Negative,01/10/2019 @ 02:12 PM,in person,Overcrowded trains,Lack of handicap access,
6,~5 days per week,< 20 min,Somewhat satisfied,A few times a week,5 - 10 min,Wait for next train,Almost never,Train traffic,True,Unaware,01/10/2019 @ 02:14 PM,in person,Customer service,Station infrastructure,Old trains
1,"More than once a week, varies",20 - 40 min,Very satisfied,Rarely,5 - 10 min,Wait for next train,Only on weekends,No reason is given,True,Other / No thoughts,01/10/2019 @ 02:14 PM,in person,Frequent route changes,Crime / Safety,Old trains
3,Everyday / Almost everyday,60 - 90 min,,,,,,,True,,01/10/2019 @ 02:16 PM,in person,,,
2,Once a week,< 20 min,Highly unsatisfied,Everyday,10 - 20 min,Wait for next train,All the time,Train traffic,True,Unaware,01/10/2019 @ 02:16 PM,in person,Delays,Frequent route changes,Overcrowded trains
3,Everyday / Almost everyday,20 - 40 min,Very satisfied,Rarely,10 - 20 min,Wait for next train,Only on weekends,Train traffic,True,Neutral,01/10/2019 @ 02:17 PM,in person,Crime / Safety,Station infrastructure,Overcrowded trains
1,"Weekdays, Mon - Fri",< 20 min,Somewhat satisfied,Rarely,20 - 45 min,For-hire vehicle,Only on weekends,Waiting for signal change,True,Other / No thoughts,01/10/2019 @ 02:17 PM,in person,Frequent route changes,Overcrowded trains,Lack of handicap access
1,Everyday / Almost everyday,60 - 90 min,Somewhat satisfied,A few times a week,20 - 45 min,Wait for next train,All the time,Train traffic,False,Negative,01/10/2019 @ 02:19 PM,in person,Delays,High fares,Station infrastructure
6,~5 days per week,40 - 60 min,Very satisfied,Rarely,5 - 10 min,Use another train,Only at night,Train traffic,False,Negative,01/10/2019 @ 02:19 PM,in person,Delays,Frequent route changes,Station infrastructure
6,Everyday / Almost everyday,< 20 min,Very satisfied,Almost never,10 - 20 min,Wait for next train,Almost never,Police incident,True,Other / No thoughts,01/10/2019 @ 02:23 PM,in person,Lack of handicap access,,
6,~5 days per week,40 - 60 min,Highly unsatisfied,Everyday,10 - 20 min,Wait for next train,All the time,Train traffic,False,Negative,01/10/2019 @ 02:24 PM,in person,Delays,Crime / Safety,Overcrowded trains
2,Everyday / Almost everyday,40 - 60 min,Somewhat satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,Sick passenger,True,Positive,01/10/2019 @ 02:25 PM,in person,Delays,High fares,Crime / Safety
A,~5 days per week,60 - 90 min,Not satisfied,A few times a week,5 - 10 min,Wait for next train,Only on weekends,Train traffic,False,Neutral,01/10/2019 @ 02:25 PM,in person,Delays,Frequent route changes,Overcrowded trains
2,Once a week,20 - 40 min,Neutral,A few times a week,10 - 20 min,Use another train,Only on weekends,Train traffic,True,Other / No thoughts,01/10/2019 @ 02:26 PM,in person,Delays,High fares,
6,"Weekdays, Mon - Fri",40 - 60 min,Very satisfied,Everyday,5 - 10 min,Wait for next train,Only on weekends,Waiting for signal change,True,Negative,01/10/2019 @ 02:27 PM,in person,Old trains,Overcrowded trains,Lack of handicap access
2,"More than once a week, varies",20 - 40 min,Highly unsatisfied,A few times a week,10 - 20 min,For-hire vehicle,Only at night,Signal malfunction,False,Negative,01/10/2019 @ 02:28 PM,in person,Delays,Frequent route changes,High fares
2,"Weekdays, Mon - Fri",40 - 60 min,Somewhat satisfied,Rarely,5 - 10 min,Wait for next train,,,True,,01/10/2019 @ 02:29 PM,in person,,,
1,Everyday / Almost everyday,< 20 min,Somewhat satisfied,A few times a week,5 - 10 min,Wait for next train,Only on weekends,Train traffic,True,Unaware,01/10/2019 @ 02:29 PM,in person,Station infrastructure,Old trains,Overcrowded trains
R,Everyday / Almost everyday,60 - 90 min,Not satisfied,A few times a week,10 - 20 min,Walk,Only on weekends,Signal malfunction,False,Negative,01/10/2019 @ 02:31 PM,in person,Delays,High fares,Overcrowded trains
3,Everyday / Almost everyday,20 - 40 min,Very satisfied,A few times a week,10 - 20 min,Wait for next train,,,True,,01/10/2019 @ 02:32 PM,in person,,,
1,Everyday / Almost everyday,40 - 60 min,Neutral,A few times a week,10 - 20 min,Use another train,Only at night,No reason is given,True,Unaware,01/10/2019 @ 02:34 PM,in person,Delays,Frequent route changes,Customer service
3,~5 days per week,40 - 60 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,All the time,Police incident,False,Positive,01/10/2019 @ 02:34 PM,in person,Delays,High fares,Overcrowded trains
2,Everyday / Almost everyday,20 - 40 min,Very satisfied,Rarely,10 - 20 min,For-hire vehicle,Almost never,,True,,01/10/2019 @ 02:38 PM,in person,Frequent route changes,Station infrastructure,Overcrowded trains
2,Everyday / Almost everyday,20 - 40 min,Very satisfied,Rarely,5 - 10 min,Use another train,Almost never,Waiting for signal change,True,Unaware,01/10/2019 @ 02:38 PM,in person,Crime / Safety,Customer service,Station infrastructure
6,"More than once a week, varies",60 - 90 min,Very satisfied,Everyday,20 - 45 min,Use another train,All the time,Train traffic,False,Positive,01/10/2019 @ 02:40 PM,in person,Delays,Crime / Safety,Overcrowded trains
2,Once a month,40 - 60 min,Somewhat satisfied,Rarely,10 - 20 min,Wait for next train,Almost never,,True,,01/10/2019 @ 02:40 PM,in person,Lack of handicap access,,
6,"Weekdays, Mon - Fri",20 - 40 min,Somewhat satisfied,Everyday,10 - 20 min,Take a bus,Only on weekends,Police incident,False,Negative,01/10/2019 @ 02:41 PM,in person,Delays,High fares,Overcrowded trains
F,Everyday / Almost everyday,20 - 40 min,Not satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,Sick passenger,True,Neutral,01/10/2019 @ 02:41 PM,in person,Delays,Frequent route changes,Station infrastructure
A,Everyday / Almost everyday,40 - 60 min,Neutral,Everyday,,Use another train,All the time,Train traffic,True,Unaware,01/10/2019 @ 02:44 PM,in person,Crime / Safety,Customer service,Lack of handicap access
2,"More than once a week, varies",< 20 min,Somewhat satisfied,Never,,,Almost never,Train traffic,True,Positive,01/10/2019 @ 02:44 PM,in person,Delays,High fares,Crime / Safety
D,"Weekdays, Mon - Fri",20 - 40 min,Not satisfied,A few times a week,45 - 60 min,For-hire vehicle,Only on weekends,No reason is given,False,Positive,01/10/2019 @ 02:45 PM,in person,Delays,Frequent route changes,High fares
6,Once a month,< 20 min,Somewhat satisfied,Rarely,5 - 10 min,Wait for next train,Almost never,No reason is given,True,Other / No thoughts,01/10/2019 @ 02:48 PM,in person,Delays,High fares,Crime / Safety
2,Once a month,20 - 40 min,Somewhat satisfied,Rarely,5 - 10 min,Wait for next train,Almost never,Waiting for signal change,False,Positive,01/10/2019 @ 02:48 PM,in person,Lack of handicap access,,
J,"Weekdays, Mon - Fri",60 - 90 min,Not satisfied,A few times a week,10 - 20 min,Use another train,Only on weekends,Waiting for signal change,False,Negative,01/10/2019 @ 02:53 PM,in person,Delays,Crime / Safety,Station infrastructure
7,"More than once a week, varies",40 - 60 min,Not satisfied,Almost never,5 - 10 min,Wait for next train,Only on weekends,Train traffic,False,Positive,01/10/2019 @ 02:56 PM,in person,Frequent route changes,,
2,Everyday / Almost everyday,40 - 60 min,Neutral,Everyday,45 - 60 min,Use another train,Only at night,Waiting for signal change,False,Negative,01/10/2019 @ 02:57 PM,in person,Delays,Frequent route changes,Overcrowded trains
6,Everyday / Almost everyday,40 - 60 min,Somewhat satisfied,Everyday,10 - 20 min,Wait for next train,Almost never,Train traffic,True,Positive,01/10/2019 @ 03:02 PM,in person,Delays,Frequent route changes,High fares
L,Everyday / Almost everyday,40 - 60 min,Not satisfied,Everyday,5 - 10 min,Use another train,Only on weekends,Train traffic,False,Negative,01/10/2019 @ 03:03 PM,in person,Delays,Frequent route changes,Overcrowded trains
J,Everyday / Almost everyday,20 - 40 min,Highly unsatisfied,A few times a week,5 - 10 min,For-hire vehicle,Only at night,Train traffic,True,Negative,01/10/2019 @ 03:04 PM,in person,Delays,Frequent route changes,Customer service
6,Everyday / Almost everyday,40 - 60 min,Neutral,Rarely,10 - 20 min,Wait for next train,Only on weekends,Train traffic,True,Unaware,01/10/2019 @ 03:05 PM,in person,Crime / Safety,Overcrowded trains,Lack of handicap access
E,~5 days per week,20 - 40 min,Not satisfied,A few times a week,5 - 10 min,Wait for next train,Only on weekends,Train traffic,True,Other / No thoughts,01/10/2019 @ 03:09 PM,in person,Frequent route changes,Overcrowded trains,Lack of handicap access
7,Everyday / Almost everyday,60 - 90 min,Neutral,Everyday,10 - 20 min,Use another train,Almost never,,True,,01/10/2019 @ 03:10 PM,in person,,,
6,~5 days per week,20 - 40 min,Not satisfied,A few times a week,5 - 10 min,Wait for next train,Almost never,Train traffic,True,Positive,01/10/2019 @ 03:10 PM,in person,Delays,Old trains,Overcrowded trains
5,Everyday / Almost everyday,40 - 60 min,Highly unsatisfied,Everyday,10 - 20 min,Wait for next train,All the time,Train traffic,False,Positive,01/10/2019 @ 03:15 PM,in person,Delays,Frequent route changes,Overcrowded trains
3,Everyday / Almost everyday,20 - 40 min,Very satisfied,A few times a week,5 - 10 min,Wait for next train,All the time,Train traffic,False,Positive,01/10/2019 @ 03:15 PM,in person,Delays,Frequent route changes,High fares
6,"Weekdays, Mon - Fri",20 - 40 min,Somewhat satisfied,A few times a week,5 - 10 min,Use another train,Almost never,Train traffic,False,Negative,01/10/2019 @ 03:18 PM,in person,High fares,Station infrastructure,
6,~5 days per week,40 - 60 min,Highly unsatisfied,A few times a week,10 - 20 min,Use another train,All the time,Train traffic,False,Positive,01/10/2019 @ 03:18 PM,in person,High fares,Crime / Safety,Overcrowded trains
2,Everyday / Almost everyday,20 - 40 min,Very satisfied,Rarely,5 - 10 min,Use another train,Almost never,Train traffic,True,Negative,01/10/2019 @ 03:19 PM,in person,Station infrastructure,Overcrowded trains,
1,Everyday / Almost everyday,40 - 60 min,Highly unsatisfied,Everyday,10 - 20 min,Wait for next train,Only on weekends,Waiting for signal change,True,Negative,01/10/2019 @ 03:24 PM,in person,Frequent route changes,Crime / Safety,Customer service
R,~5 days per week,20 - 40 min,Somewhat satisfied,Rarely,5 - 10 min,Wait for next train,Almost never,Train traffic,True,Neutral,01/10/2019 @ 03:26 PM,in person,Station infrastructure,Old trains,Lack of handicap access
6,Everyday / Almost everyday,20 - 40 min,Highly unsatisfied,Everyday,5 - 10 min,,All the time,,True,Negative,01/10/2019 @ 03:29 PM,in person,Delays,Crime / Safety,Overcrowded trains
7,Everyday / Almost everyday,20 - 40 min,Very satisfied,Rarely,5 - 10 min,Wait for next train,Only on weekends,Waiting for signal change,True,Neutral,01/10/2019 @ 03:31 PM,in person,Customer service,Station infrastructure,Overcrowded trains
6,"Weekdays, Mon - Fri",< 20 min,Not satisfied,A few times a week,10 - 20 min,Use another train,Only on weekends,Train traffic,False,Other / No thoughts,01/10/2019 @ 03:31 PM,in person,Delays,Station infrastructure,Overcrowded trains
7,Everyday / Almost everyday,20 - 40 min,Neutral,A few times a week,10 - 20 min,Walk,Only at night,Train traffic,False,Positive,01/10/2019 @ 03:38 PM,in person,Crime / Safety,Customer service,Overcrowded trains
6,Everyday / Almost everyday,60 - 90 min,Not satisfied,Everyday,10 - 20 min,Take a bus,All the time,Signal malfunction,False,Positive,01/10/2019 @ 03:39 PM,in person,High fares,Station infrastructure,Overcrowded trains
6,~5 days per week,40 - 60 min,Somewhat satisfied,A few times a week,10 - 20 min,Use another train,All the time,Train traffic,False,Positive,01/10/2019 @ 03:39 PM,in person,Delays,Frequent route changes,Customer service
7,"More than once a week, varies",20 - 40 min,Neutral,A few times a week,5 - 10 min,,All the time,,True,,01/10/2019 @ 03:44 PM,in person,,,
7,~5 days per week,20 - 40 min,Not satisfied,A few times a week,10 - 20 min,Take a bus,Only at night,Train traffic,True,Neutral,01/10/2019 @ 03:47 PM,in person,High fares,Customer service,Old trains
J,Everyday / Almost everyday,20 - 40 min,Somewhat satisfied,A few times a week,5 - 10 min,Use another train,All the time,Train traffic,True,Positive,01/10/2019 @ 03:55 PM,in person,Delays,Frequent route changes,High fares
7,Everyday / Almost everyday,20 - 40 min,Very satisfied,Almost never,5 - 10 min,Wait for next train,Only on weekends,No reason is given,True,Negative,01/10/2019 @ 04:01 PM,in person,Crime / Safety,,
L,Everyday / Almost everyday,20 - 40 min,Very satisfied,A few times a week,10 - 20 min,Use another train,Only on weekends,Train traffic,True,Neutral,01/10/2019 @ 04:20 PM,in person,Delays,,
A,Everyday / Almost everyday,< 20 min,Somewhat satisfied,Rarely,10 - 20 min,Wait for next train,Only at night,Train traffic,True,Neutral,01/10/2019 @ 04:23 PM,in person,Overcrowded trains,,
A,"More than once a week, varies",< 20 min,Not satisfied,A few times a week,5 - 10 min,For-hire vehicle,Almost never,Train traffic,False,Neutral,01/10/2019 @ 04:25 PM,in person,Delays,High fares,Overcrowded trains
A,"More than once a week, varies",< 20 min,Not satisfied,A few times a week,5 - 10 min,For-hire vehicle,Almost never,Train traffic,False,Neutral,01/10/2019 @ 04:25 PM,in person,Delays,High fares,Overcrowded trains
A,Everyday / Almost everyday,20 - 40 min,Neutral,A few times a week,5 - 10 min,Wait for next train,Only on weekends,Train traffic,True,Unaware,01/10/2019 @ 04:26 PM,in person,Delays,High fares,Overcrowded trains
E,Everyday / Almost everyday,< 20 min,Neutral,A few times a week,5 - 10 min,For-hire vehicle,Only on weekends,Signal malfunction,True,Neutral,01/10/2019 @ 04:27 PM,in person,Delays,Old trains,Lack of handicap access
E,"Weekdays, Mon - Fri",20 - 40 min,Not satisfied,A few times a week,20 - 45 min,Wait for next train,Only on weekends,Train traffic,True,Neutral,01/10/2019 @ 04:31 PM,in person,Delays,Frequent route changes,Customer service
1,Everyday / Almost everyday,40 - 60 min,Neutral,Everyday,5 - 10 min,Wait for next train,,Train traffic,True,Negative,01/10/2019 @ 04:36 PM,in person,Frequent route changes,High fares,Lack of handicap access
A,Everyday / Almost everyday,20 - 40 min,Somewhat satisfied,Rarely,20 - 45 min,Use another train,Only on weekends,Police incident,True,Positive,01/10/2019 @ 04:37 PM,in person,Frequent route changes,Customer service,Station infrastructure
Q,Everyday / Almost everyday,40 - 60 min,Not satisfied,A few times a week,20 - 45 min,Wait for next train,All the time,No reason is given,False,Positive,01/10/2019 @ 04:39 PM,in person,Delays,High fares,Overcrowded trains
1,"More than once a week, varies",< 20 min,Very satisfied,Rarely,10 - 20 min,Wait for next train,Almost never,Train traffic,True,Positive,01/10/2019 @ 04:40 PM,in person,Delays,Frequent route changes,High fares
A,Everyday / Almost everyday,< 20 min,Not satisfied,Everyday,10 - 20 min,Walk,Almost never,Train traffic,True,Positive,01/10/2019 @ 04:42 PM,in person,Delays,Customer service,Station infrastructure
1,Everyday / Almost everyday,20 - 40 min,Not satisfied,Rarely,5 - 10 min,Take a bus,Almost never,Sick passenger,True,Positive,01/10/2019 @ 04:48 PM,in person,Crime / Safety,Customer service,Overcrowded trains
E,~5 days per week,< 20 min,Somewhat satisfied,Rarely,10 - 20 min,Use another train,Almost never,Train traffic,True,Positive,01/10/2019 @ 04:49 PM,in person,High fares,Customer service,Overcrowded trains
A,Everyday / Almost everyday,20 - 40 min,Very satisfied,Everyday,10 - 20 min,Wait for next train,Only on weekends,Signal malfunction,True,Positive,01/10/2019 @ 04:50 PM,in person,Delays,Frequent route changes,Station infrastructure
A,Everyday / Almost everyday,20 - 40 min,Somewhat satisfied,Everyday,5 - 10 min,Wait for next train,Almost never,Train traffic,True,Other / No thoughts,01/10/2019 @ 04:52 PM,in person,Customer service,Station infrastructure,Overcrowded trains
L,Everyday / Almost everyday,90 min - 2 hours,Neutral,Everyday,10 - 20 min,Use another train,Almost never,No reason is given,True,Positive,01/10/2019 @ 04:59 PM,in person,Delays,Station infrastructure,Overcrowded trains
L,Everyday / Almost everyday,60 - 90 min,Neutral,A few times a week,5 - 10 min,Wait for next train,Almost never,No reason is given,False,Negative,01/10/2019 @ 04:59 PM,in person,Delays,Frequent route changes,Overcrowded trains
L,Once a week,< 20 min,Neutral,Rarely,5 - 10 min,For-hire vehicle,,No reason is given,True,Other / No thoughts,01/10/2019 @ 05:00 PM,in person,Delays,Overcrowded trains,
J,Everyday / Almost everyday,20 - 40 min,Neutral,A few times a week,5 - 10 min,Wait for next train,Almost never,Signal malfunction,False,Negative,01/10/2019 @ 05:00 PM,in person,Delays,High fares,Overcrowded trains
C,Everyday / Almost everyday,40 - 60 min,Highly unsatisfied,A few times a week,10 - 20 min,Use another train,All the time,Waiting for signal change,True,Positive,01/10/2019 @ 05:04 PM,in person,Delays,Customer service,Station infrastructure
C,Everyday / Almost everyday,40 - 60 min,Highly unsatisfied,A few times a week,10 - 20 min,Use another train,All the time,Waiting for signal change,True,Positive,01/10/2019 @ 05:04 PM,in person,Delays,Customer service,Station infrastructure
R,Everyday / Almost everyday,40 - 60 min,Somewhat satisfied,A few times a week,20 - 45 min,For-hire vehicle,Almost never,No reason is given,True,Neutral,01/10/2019 @ 05:04 PM,in person,Delays,Overcrowded trains,
M,Everyday / Almost everyday,40 - 60 min,Not satisfied,A few times a week,10 - 20 min,Use another train,All the time,Signal malfunction,True,Other / No thoughts,01/10/2019 @ 05:06 PM,in person,Delays,Overcrowded trains,Lack of handicap access
1,Everyday / Almost everyday,20 - 40 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,,Signal malfunction,True,Positive,01/10/2019 @ 05:08 PM,in person,Delays,Frequent route changes,
6,"More than once a week, varies",20 - 40 min,Neutral,Rarely,10 - 20 min,Walk,Almost never,No reason is given,False,Positive,01/10/2019 @ 05:10 PM,in person,Delays,High fares,Overcrowded trains
6,"More than once a week, varies",20 - 40 min,Neutral,Rarely,10 - 20 min,Walk,Almost never,No reason is given,False,Positive,01/10/2019 @ 05:10 PM,in person,Delays,High fares,Overcrowded trains
R,Everyday / Almost everyday,60 - 90 min,Highly unsatisfied,Everyday,5 - 10 min,Wait for next train,Only on weekends,Train traffic,True,Negative,01/10/2019 @ 05:10 PM,in person,Delays,Frequent route changes,Overcrowded trains
7,Everyday / Almost everyday,60 - 90 min,Not satisfied,A few times a week,20 - 45 min,Use another train,Only at night,No reason is given,False,Positive,01/10/2019 @ 05:11 PM,in person,Delays,Frequent route changes,Station infrastructure
7,Everyday / Almost everyday,60 - 90 min,Not satisfied,A few times a week,20 - 45 min,Use another train,Only at night,No reason is given,False,Positive,01/10/2019 @ 05:11 PM,in person,Delays,Frequent route changes,Station infrastructure
1,Everyday / Almost everyday,40 - 60 min,Somewhat satisfied,A few times a week,5 - 10 min,Wait for next train,Only on weekends,Train traffic,False,Positive,01/10/2019 @ 05:14 PM,in person,High fares,Overcrowded trains,Lack of handicap access
1,Once a week,< 20 min,Very satisfied,Never,5 - 10 min,Wait for next train,Only on weekends,Train traffic,True,Other / No thoughts,01/10/2019 @ 05:16 PM,in person,Lack of handicap access,,
E,Everyday / Almost everyday,< 20 min,Somewhat satisfied,Rarely,5 - 10 min,Use another train,Almost never,Train traffic,True,Positive,01/10/2019 @ 05:16 PM,in person,Crime / Safety,Customer service,Old trains
1,~5 days per week,40 - 60 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,Almost never,Sick passenger,True,Positive,01/10/2019 @ 05:17 PM,in person,Delays,Old trains,Overcrowded trains
